Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label,Timestamp
15992.78515625,24839.6953125,20477.08203125,59741.96484375,35814.58203125,46765.83984375,-1655992.25,62405.19921875,0,174725.5347664
15968.6669921875,24829.45703125,20471.1796875,59706.13671875,35821.91015625,46748.33984375,-1655916.875,62379.671875,0,174725.5387664
15949.8251953125,24827.111328125,20473.548828125,59702.0,35824.16796875,46745.8359375,-1655909.375,62350.99609375,0,174725.54276639997
15973.0263671875,24840.029296875,20481.08203125,59747.26171875,35822.0,46763.78515625,-1655992.0,62370.30859375,0,174725.54676639996
15995.3779296875,24838.95703125,20475.115234375,59755.01953125,35817.015625,46761.32421875,-1656022.375,62411.90625,0,174725.55076639995
15969.4716796875,24827.111328125,20469.99609375,59711.96875,35817.73046875,46741.609375,-1655925.75,62394.359375,0,174725.55476639993
15943.8125,24829.748046875,20475.44921875,59701.82421875,35824.7734375,46739.890625,-1655898.125,62354.4375,0,174725.55876639992
15965.0908203125,24845.685546875,20485.216796875,59734.09765625,35824.90625,46760.09375,-1655970.875,62366.91015625,0,174725.5627663999
15990.68359375,24856.078125,20491.251953125,59758.10546875,35826.91796875,46775.36328125,-1656002.75,62404.59375,0,174725.5667663999
15980.0,24844.58984375,20483.98828125,59726.1875,35824.4140625,46759.671875,-1655921.0,62396.97265625,0,174725.57076639988
15947.701171875,24835.76171875,20479.40625,59707.38671875,35823.36328125,46745.43359375,-1655885.25,62357.07421875,0,174725.5673421
15954.98828125,24846.9140625,20486.06640625,59735.05859375,35822.5390625,46756.18359375,-1655953.375,62358.8203125,0,174725.57134209998
15991.3095703125,24860.705078125,20495.4765625,59770.10546875,35827.0078125,46773.83984375,-1655998.25,62400.6171875,0,174725.57534209997
15991.623046875,24850.84765625,20491.498046875,59746.0546875,35825.9140625,46761.75,-1655927.625,62411.7265625,0,174725.57934209995
15967.326171875,24838.107421875,20483.541015625,59724.53125,35820.390625,46747.578125,-1655904.25,62383.7421875,0,174725.58334209994
15962.38671875,24848.009765625,20491.72265625,59736.66796875,35824.19140625,46759.60546875,-1655941.375,62370.6640625,0,174725.58734209993
15985.7666015625,24862.740234375,20498.181640625,59770.95703125,35829.5546875,46776.61328125,-1656019.625,62405.82421875,0,174725.5913420999
15984.3134765625,24858.359375,20496.146484375,59747.2421875,35832.5078125,46767.875,-1655952.375,62416.59765625,0,174725.5953420999
